"resource_type_key","uri","label","parent_label_1","parent_label_2","parent_label_3","label_es"
765,"http://purl.org/coar/resource_type/A8F1-NPV9","GENOMIC DATA","DATASET",NULL,NULL,"DATOS GENÓMICOS"
766,"http://purl.org/coar/resource_type/2H0M-X761","GEOSPATIAL DATA","DATASET",NULL,NULL,"DATOS GEOESPACIALES"
767,"http://purl.org/coar/resource_type/H41Y-FW7B","LABORATORY NOTEBOOK","DATASET",NULL,NULL,"CUADERNO DE LABORATORIO"
768,"http://purl.org/coar/resource_type/DD58-GFSX","MEASUREMENT AND TEST DATA","DATASET",NULL,NULL,"DATOS DE MEDICIÓN Y PRUEBA"
769,"http://purl.org/coar/resource_type/FF4C-28RK","OBSERVATIONAL DATA","DATASET",NULL,NULL,"DATOS OBSERVACIONALES"
770,"http://purl.org/coar/resource_type/CQMR-7K63","RECORDED DATA","DATASET",NULL,NULL,"DATOS REGISTRADOS"
771,"http://purl.org/coar/resource_type/W2XT-7017","SIMULATION DATA","DATASET",NULL,NULL,"DATOS DE SIMULACIÓN"
772,"http://purl.org/coar/resource_type/NHD0-W6SY","SURVEY DATA","DATASET",NULL,NULL,"DATOS DE ENCUESTA"
773,"http://purl.org/coar/resource_type/c_12cd","MAP","CARTOGRAPHIC MATERIAL",NULL,NULL,"MAPA"
774,"http://purl.org/coar/resource_type/c_12cc","CARTOGRAPHIC MATERIAL",NULL,NULL,NULL,"MATERIAL CARTOGRÁFICO"
775,"http://purl.org/coar/resource_type/c_3e5a","CONTRIBUTION TO JOURNAL",NULL,NULL,NULL,"CONTRIBUCIÓN A REVISTA"
776,"http://purl.org/coar/resource_type/c_ddb1","DATASET",NULL,NULL,NULL,"CONJUNTO DE DATOS"
777,"http://purl.org/coar/resource_type/542X-3S04","DESIGN",NULL,NULL,NULL,"DISEÑO"
778,"http://purl.org/coar/resource_type/c_c513","IMAGE",NULL,NULL,NULL,"IMAGEN"
779,"http://purl.org/coar/resource_type/c_e9a0","INTERACTIVE RESOURCE",NULL,NULL,NULL,"RECURSO INTERACTIVO"
780,"http://purl.org/coar/resource_type/c_18ww","INTERNAL REPORT",NULL,NULL,NULL,"INFORME INTERNO"
781,"http://purl.org/coar/resource_type/c_e059","LEARNING OBJECT",NULL,NULL,NULL,"OBJETO DE APRENDIZAJE"
782,"http://purl.org/coar/resource_type/c_1843","OTHER",NULL,NULL,NULL,"OTROS"
783,"http://purl.org/coar/resource_type/c_18wq","OTHER TYPE OF REPORT",NULL,NULL,NULL,"OTRO TIPO DE INFORME"
784,"http://purl.org/coar/resource_type/c_15cd","PATENT",NULL,NULL,NULL,"PATENTE"
785,"http://purl.org/coar/resource_type/c_2659","PERIODICAL",NULL,NULL,NULL,"PUBLICACIÓN PERIÓDICA"
786,"http://purl.org/coar/resource_type/c_ba1f","REPORT PART",NULL,NULL,NULL,"PARTE DE UN ESTUDIO"
787,"http://purl.org/coar/resource_type/c_18hj","REPORT TO FUNDING AGENCY",NULL,NULL,NULL,"INFORME A ORGANISMO FINANCIADOR"
788,"http://purl.org/coar/resource_type/c_5ce6","SOFTWARE",NULL,NULL,NULL,"SOFTWARE"
789,"http://purl.org/coar/resource_type/c_18cc","SOUND",NULL,NULL,NULL,"SONIDO"
790,"http://purl.org/coar/resource_type/c_18cf","TEXT",NULL,NULL,NULL,"TEXTO"
791,"http://purl.org/coar/resource_type/H6QP-SC1X","TRADEMARK",NULL,NULL,NULL,"MARCA"
792,"http://purl.org/coar/resource_type/c_393c","WORKFLOW",NULL,NULL,NULL,"FLUJO DE TRABAJO"
